record_id,timestamp,user_id,age,activity_type,duration_min,calories_burned,heart_rate_avg,steps,sleep_hours,weight_kg
1,2025-07-22 09:22:54,U026,67.0,Cycling,7.0,322.0,175.0,3591.0,7.0,84.3
2,2025-05-28 13:53:54,U039,16.0,Strength Training,83.0,265.0,113.0,22312.0,5.7,79.6
3,2025-08-07 01:36:54,U046,62.0,Cycling,118.0,508.0,98.0,5418.0,6.6,88.3
4,2025-07-17 01:56:54,U048,56.0,S wim min g,75.0,270.0,150.0,19809.0,7.9,69.0
5,2025-08-11 03:22:54,U042,42.0,Yo ga,76.0,308.0,141.0,12562.0,5.0,61.6
6,2025-07-25 13:00:54,U005,39.0,HIIT,50.0,471.0,163.0,23432.0,7.4,98.7
7,2025-05-21 08:47:54,U030,61.0,Walking,88.0,238.0,78.0,14851.0,6.8,61.8
8,2025-06-28 14:29:54,U014,46.0,Yoga,39.0,133.0,179.0,15351.0,4.5,46.0
9,2025-08-02 19:57:54,U036,63.0,Swimming,10.0,500.0,82.0,13072.0,4.7,72.6
10,2025-08-31 09:54:54,U019,27.0,Swimming,100.0,210.0,165.0,22439.0,6.3,73.7
11,2025-05-18 06:34:54,U013,58.0,Walking,16.0,256.0,73.0,16338.0,7.3,69.4
"12,2025-06-13 16:19:54,U034,""52"",Male,Yoga,49,376,102,11601,9.2,82.3",,,,,,,,,,
13,2025-07-08 21:56:54,U035,39.0,Swimming,74.0,293.0,172.0,24435.0,3.2,72.7
14,2025-10-09 19:54:54,U041,46.0,Yoga,54.0,563.0,115.0,24409.0,6.7,64.6
17,2025-04-25 23:23:54,U015,42.0,Yoga,92.0,158.0,160.0,15425.0,3.3,55.0
18,2025-05-03 09:30:54,U018,55.0,Cycling,11.0,420.0,109.0,11349.0,3.0,62.1
19,2025-04-27 03:58:54,U050,68.0,Yoga,119.0,287.0,172.0,18498.0,3.3,84.4
20,2025-10-12 20:37:54,U050,58.0,HIIT,12.0,152.0,107.0,10048.0,9.4,104.6
21,2025-05-20 23:55:54,U043,31.0,Swimming,6.0,416.0,102.0,7594.0,7.8,97.6
22,2025-08-17 18:22:54,U039,19.0,Running,68.0,244.0,102.0,21253.0,6.7,55.4
23,2025-04-29 05:55:54,U005,53.0,HIIT,116.0,151.0,79.0,23062.0,5.9,73.3
24,2025-08-24 09:24:54,U044,51.0,Strength Training,11.0,134.0,118.0,15191.0,7.7,91.4
25,2025-07-05 01:55:54,U020,69.0,Cycling,9.0,108.0,74.0,24095.0,5.8,59.2
26,2025-07-06 05:02:54,U039,45.0,HIIT,44.0,308.0,111.0,13514.0,9.0,70.0
27,2025-08-04 05:10:54,U042,38.0,Yoga,12.0,50.0,152.0,22404.0,4.5,75.7
28,2025-10-09 21:07:54,U010,27.0,Strength Training,54.0,50.0,128.0,2971.0,3.2,81.6
29,2025-04-27 09:21:54,U008,61.0,Swimming,90.0,146.0,126.0,18805.0,8.2,70.5
30,2025-10-10 12:04:54,U036,37.0,HIIT,102.0,354.0,90.0,2868.0,9.1,68.7
31,2025-08-16 06:35:54,U011,18.0,HIIT,18.0,278.0,151.0,12665.0,3.8,37.6
32,2025-07-04 06:59:54,U026,28.0,Walking,85.0,211.0,138.0,17304.0,8.9,82.6
33,2025-06-19 20:38:54,U003,42.0,Yoga,69.0,368.0,104.0,3733.0,5.4,73.4
34,2025-05-02 14:53:54,U028,66.0,Walking,92.0,405.0,70.0,6276.0,7.5,72.0
35,2025-07-22 08:34:54,U046,66.0,Yoga,39.0,205.0,115.0,15363.0,7.2,70.7
36,2025-09-09 20:29:54,U011,19.0,Walking,36.0,50.0,117.0,13377.0,8.9,94.3
37,2025-09-17 19:29:54,U019,66.0,Walking,88.0,476.0,163.0,19495.0,8.9,78.7
38,2025-05-30 05:26:54,U023,63.0,HIIT,109.0,50.0,179.0,13263.0,3.6,71.3
39,2025-05-18 12:32:54,U024,16.0,Running,45.0,337.0,63.0,14571.0,3.4,56.4
40,2025-08-01 16:40:54,U031,66.0,Swimming,96.0,367.0,170.0,7481.0,3.1,66.7
41,2025-09-05 12:31:54,U006,49.0,HIIT,51.0,208.0,83.0,14060.0,8.1,92.9
42,2025-08-03 04:32:54,U010,52.0,Yoga,98.0,432.0,165.0,14201.0,8.1,63.0
43,2025-06-30 01:41:54,U045,32.0,Strength Training,40.0,392.0,94.0,9614.0,9.1,46.1
44,2025-10-11 17:01:54,U045,20.0,HIIT,95.0,460.0,77.0,12186.0,8.5,68.1
45,2025-10-08 09:23:54,U006,36.0,Walking,79.0,530.0,127.0,5597.0,6.8,77.3
46,2025-06-23 11:58:54,U047,56.0,Running,34.0,269.0,140.0,12383.0,6.8,51.7
47,2025-06-27 22:00:54,U025,62.0,Swimming,67.0,230.0,93.0,24968.0,4.8,66.6
48,2025-08-31 18:23:54,U002,46.0,Cycling,24.0,330.0,134.0,14863.0,3.9,85.0
49,2025-06-30 06:13:54,U013,17.0,Running,21.0,545.0,173.0,5906.0,5.2,76.4
50,2025-08-22 12:38:54,U023,49.0,Swimming,62.0,322.0,121.0,19652.0,9.4,61.7
51,2025-06-16 16:56:54,U038,27.0,Swimming,105.0,389.0,68.0,17788.0,3.7,84.5
52,2025-09-12 09:44:54,U014,66.0,HIIT,71.0,394.0,131.0,10145.0,5.7,41.5
53,2025-08-14 02:48:54,U046,64.0,Running,45.0,84.0,108.0,8434.0,4.6,77.3
54,2025-08-29 03:20:54,U023,40.0,Yoga,38.0,401.0,167.0,6688.0,5.8,65.9
